index	token	frequency
4261	1984	3
4262	19th-century	3
4263	300	3
4264	5	3
4265	84	3
4266	86	3
4267	88-minute	3
4268	95	3
4269	a-list	3
4270	absurdist	3
4271	absurdly	3
4272	abundant	3
4273	accepting	3
4274	access	3
4275	accomplishes	3
4276	according	3
4277	acknowledges	3
4278	acute	3
4279	adage	3
4280	adding	3
4281	adolescence	3
4282	advance	3
4283	advertised	3
4284	aesthetic	3
4285	affable	3
4286	affected	3
4287	affectionate	3
4288	affirming	3
4289	afloat	3
4290	afternoon	3
4291	aged	3
4292	aggressively	3
4293	aimlessly	3
4294	airless	3
4295	akin	3
4296	alexandre	3
4297	alfred	3
4298	allusions	3
4299	aloof	3
4300	alternate	3
4301	amalgam	3
4302	amaro	3
4303	ambiguity	3
4304	amidst	3
4305	analytical	3
4306	animatronic	3
4307	annals	3
4308	anne-sophie	3
4309	anticipated	3
4310	antidote	3
4311	antonia	3
4312	appeals	3
4313	appearance	3
4314	appeared	3
4315	approaches	3
4316	apted	3
4317	arbitrary	3
4318	arnie	3
4319	arrest	3
4320	artful	3
4321	artfully	3
4322	artistry	3
4323	ash	3
4324	aspires	3
4325	assembly	3
4326	associated	3
4327	assuming	3
4328	astute	3
4329	atlantic	3
4330	attack	3
4331	audacity	3
4332	audiard	3
4333	austerity	3
4334	australia	3
4335	australian	3
4336	auteuil	3
4337	auteur	3
4338	author	3
4339	automatically	3
4340	available	3
4341	awakening	3
4342	aware	3
4343	backdrops	3
4344	badness	3
4345	baffled	3
4346	baggage	3
4347	bale	3
4348	bank	3
4349	baran	3
4350	basketball	3
4351	bean	3
4352	bearing	3
4353	beats	3
4354	beguiling	3
4355	behan	3
4356	belgium	3
4357	believability	3
4358	believer	3
4359	benefits	3
4360	besson	3
4361	bet	3
4362	betty	3
4363	bible	3
4364	binoche	3
4365	biography	3
4366	bisset	3
4367	blandness	3
4368	bloated	3
4369	block	3
4370	blockbusters	3
4371	blues	3
4372	bluster	3
4373	boasting	3
4374	bob	3
4375	bodice-ripper	3
4376	boils	3
4377	boisterous	3
4378	bollywood	3
4379	bombastic	3
4380	bones	3
4381	boobs	3
4382	boom	3
4383	bought	3
4384	brains	3
4385	brash	3
4386	bravado	3
4387	brave	3
4388	bravery	3
4389	bravo	3
4390	bray	3
4391	bread	3
4392	breadth	3
4393	breakdown	3
4394	breathes	3
4395	brendan	3
4396	brightly	3
4397	brilliance	3
4398	brio	3
4399	brit	3
4400	brits	3
4401	broadway	3
4402	brooms	3
4403	bros.	3
4404	build-up	3
4405	bull	3
4406	burning	3
4407	burst	3
4408	buttons	3
4409	buzz	3
4410	buñuel	3
4411	by-the-numbers	3
4412	byler	3
4413	c.h.o.	3
4414	cacoyannis	3
4415	caesar	3
4416	cal	3
4417	callow	3
4418	calls	3
4419	campy	3
4420	canadian	3
4421	canon	3
4422	capability	3
4423	capitalize	3
4424	capra	3
4425	captivates	3
4426	captured	3
4427	careful	3
4428	carnage	3
4429	cars	3
4430	carved	3
4431	catching	3
4432	catholic	3
4433	cattaneo	3
4434	caustic	3
4435	centered	3
4436	chair	3
4437	champion	3
4438	chaos	3
4439	chaplin	3
4440	characteristic	3
4441	characteristically	3
4442	charlotte	3
4443	cheat	3
4444	checklist	3
4445	cheek	3
4446	cheeky	3
4447	cherry	3
4448	chicken	3
4449	childish	3
4450	chill	3
4451	chimps	3
4452	chocolate	3
4453	chomp	3
4454	chouraqui	3
4455	christopher	3
4456	chronicle	3
4457	chronicles	3
4458	church	3
4459	cia	3
4460	circumstances	3
4461	clad	3
4462	claim	3
4463	claims	3
4464	clancy	3
4465	clashing	3
4466	classy	3
4467	claude	3
4468	cleaner	3
4469	clear-eyed	3
4470	cliche-ridden	3
4471	climax	3
4472	clinical	3
4473	clueless	3
4474	clunky	3
4475	coal	3
4476	cockettes	3
4477	collectively	3
4478	collinwood	3
4479	combine	3
4480	comedy\/drama	3
4481	comically	3
4482	commercialism	3
4483	commitment	3
4484	companion	3
4485	compare	3
4486	compellingly	3
4487	competition	3
4488	complexities	3
4489	comprehension	3
4490	conceit	3
4491	condensed	3
4492	condescension	3
4493	conditioning	3
4494	conditions	3
4495	confessions	3
4496	confined	3
4497	confirms	3
4498	confusion	3
4499	conjures	3
4500	connections	3
4501	conquer	3
4502	considers	3
4503	constructs	3
4504	contact	3
4505	contemplation	3
4506	conventions	3
4507	conversation	3
4508	conveying	3
4509	convincingly	3
4510	cooper	3
4511	cops	3
4512	corporate	3
4513	corpse	3
4514	correctness	3
4515	counterparts	3
4516	countless	3
4517	crack	3
4518	crackle	3
4519	crammed	3
4520	creatures	3
4521	creeps	3
4522	cremaster	3
4523	crew	3
4524	crimen	3
4525	crippled	3
4526	criticism	3
4527	critique	3
4528	crosses	3
4529	crossover	3
4530	crystal	3
4531	cuban	3
4532	culkin	3
4533	cumulative	3
4534	cup	3
4535	curmudgeon	3
4536	damning	3
4537	damon	3
4538	daniel	3
4539	darling	3
4540	darned	3
4541	dash	3
4542	daughters	3
4543	decadent	3
4544	decasia	3
4545	deception	3
4546	deceptions	3
4547	decision	3
4548	deepest	3
4549	defeated	3
4550	defines	3
4551	deliberate	3
4552	demand	3
4553	demonstrate	3
4554	demonstrating	3
4555	demonstration	3
4556	departure	3
4557	depend	3
4558	depicts	3
4559	depraved	3
4560	depressed	3
4561	depths	3
4562	derived	3
4563	deserving	3
4564	destiny	3
4565	detective	3
4566	determine	3
4567	develop	3
4568	developments	3
4569	devotees	3
4570	diaries	3
4571	diary	3
4572	diaz	3
4573	dickensian	3
4574	didactic	3
4575	diggs	3
4576	dilemma	3
4577	dim-witted	3
4578	dimension	3
4579	dinner	3
4580	direct	3
4581	discourse	3
4582	discussion	3
4583	dishonest	3
4584	disintegrating	3
4585	disregard	3
4586	distract	3
4587	dominated	3
4588	door	3
4589	dope	3
4590	downtown	3
4591	downward	3
4592	dozen	3
4593	drab	3
4594	dragged	3
4595	dreck	3
4596	drew	3
4597	driver	3
4598	drown	3
4599	drowns	3
4600	duration	3
4601	dutiful	3
4602	duty	3
4603	dv	3
4604	ear	3
4605	earned	3
4606	east	3
4607	economic	3
4608	edits	3
4609	educational	3
4610	edward	3
4611	eerily	3
4612	election	3
4613	electric	3
4614	elegance	3
4615	elevate	3
4616	elevated	3
4617	elevates	3
4618	emerging	3
4619	employs	3
4620	endings	3
4621	endurance	3
4622	enduring	3
4623	engagingly	3
4624	enhances	3
4625	enjoys	3
4626	enters	3
4627	environment	3
4628	environmental	3
4629	episodic	3
4630	epps	3
4631	equals	3
4632	er	3
4633	errors	3
4634	escaped	3
4635	escapes	3
4636	ethereal	3
4637	everywhere	3
4638	evident	3
4639	exact	3
4640	excessively	3
4641	excited	3
4642	excruciatingly	3
4643	exhausted	3
4644	existentialism	3
4645	existing	3
4646	expands	3
4647	expects	3
4648	expert	3
4649	expertly	3
4650	explains	3
4651	explode	3
4652	exploiting	3
4653	explosive	3
4654	exposes	3
4655	extensive	3
4656	exterior	3
4657	exuberance	3
4658	faced	3
4659	facet	3
4660	fade	3
4661	failed	3
4662	fallen	3
4663	far-fetched	3
4664	fart	3
4665	farts	3
4666	fascinate	3
4667	fascination	3
4668	faults	3
4669	fearless	3
4670	feces	3
4671	feeble	3
4672	feral	3
4673	fervently	3
4674	fiennes	3
4675	figured	3
4676	filming	3
4677	finesse	3
4678	fingered	3
4679	fingers	3
4680	fires	3
4681	first-class	3
4682	flailing	3
4683	flashbacks	3
4684	flashes	3
4685	flatulence	3
4686	flavor	3
4687	flaw	3
4688	flesh	3
4689	floating	3
4690	florid	3
4691	focused	3
4692	focuses	3
4693	foibles	3
4694	folly	3
4695	foolish	3
4696	footnote	3
4697	foremost	3
4698	forgets	3
4699	franklin	3
4700	freaky	3
4701	freddy	3
4702	fulfilling	3
4703	full-bodied	3
4704	function	3
4705	functions	3
4706	furiously	3
4707	gantz	3
4708	garcia	3
4709	gary	3
4710	geared	3
4711	generating	3
4712	generations	3
4713	genteel	3
4714	geriatric	3
4715	ghosts	3
4716	gleaned	3
4717	glib	3
4718	glorified	3
4719	glum	3
4720	goal	3
4721	good-hearted	3
4722	good-looking	3
4723	goods	3
4724	goodwill	3
4725	goofball	3
4726	goose	3
4727	gosford	3
4728	graceless	3
4729	graham	3
4730	grandiosity	3
4731	great-grandson	3
4732	griffiths	3
4733	grind	3
4734	guarantee	3
4735	guilt	3
4736	gut-wrenching	3
4737	hal	3
4738	half-bad	3
4739	half-baked	3
4740	half-hour	3
4741	hall	3
4742	ham-fisted	3
4743	hammy	3
4744	hampered	3
4745	handle	3
4746	handling	3
4747	handsomely	3
4748	hang	3
4749	hanging	3
4750	harmon	3
4751	hashiguchi	3
4752	hates	3
4753	haunted	3
4754	hawaiian	3
4755	hawk	3
4756	hawke	3
4757	hawn	3
4758	hayek	3
4759	headed	3
4760	health	3
4761	hearst	3
4762	heartbreak	3
4763	heartbreakingly	3
4764	heated	3
4765	hefty	3
4766	heights	3
4767	helmer	3
4768	helped	3
4769	heritage	3
4770	hewitt	3
4771	hickenlooper	3
4772	hidden	3
4773	hideously	3
4774	high-concept	3
4775	high-tech	3
4776	higher	3
4777	highlight	3
4778	hilariously	3
4779	historically	3
4780	histrionics	3
4781	hitchcock	3
4782	hitchcockian	3
4783	holly	3
4784	homosexuality	3
4785	hopeless	3
4786	hopelessly	3
4787	hopes	3
4788	horribly	3
4789	horrors	3
4790	hospital	3
4791	host	3
4792	hour-and-a-half	3
4793	humane	3
4794	humanly	3
4795	humans	3
4796	hundred	3
4797	hurley	3
4798	huston	3
4799	ian	3
4800	ice-t	3
4801	ichi	3
4802	icon	3
4803	iconoclastic	3
4804	idealism	3
4805	idiots	3
4806	iii	3
4807	illness	3
4808	illuminating	3
4809	imaginable	3
4810	imamura	3
4811	immature	3
4812	immediacy	3
4813	impersonal	3
4814	impressions	3
4815	improved	3
4816	improvisation	3
4817	impulse	3
4818	inappropriate	3
4819	inclination	3
4820	incongruous	3
4821	indication	3
4822	indifference	3
4823	indulgence	3
4824	ineptly	3
4825	inert	3
4826	inexperienced	3
4827	infantile	3
4828	infectious	3
4829	infinitely	3
4830	influenced	3
4831	information	3
4832	infuriating	3
4833	ingredients	3
4834	inject	3
4835	innocuous	3
4836	innovation	3
4837	innovative	3
4838	inquiry	3
4839	inquisitive	3
4840	insane	3
4841	insanity	3
4842	insecure	3
4843	insightfully	3
4844	insistent	3
4845	insult	3
4846	insultingly	3
4847	intact	3
4848	intellectually	3
4849	intelligently	3
4850	intentionally	3
4851	interaction	3
4852	interviews	3
4853	intolerable	3
4854	introspective	3
4855	inventiveness	3
4856	inviting	3
4857	involve	3
4858	ironies	3
4859	irresponsible	3
4860	israel	3
4861	ivans	3
4862	iwai	3
4863	jaded	3
4864	janklowicz-mann	3
4865	jar	3
4866	jaw-droppingly	3
4867	jay	3
4868	jazzy	3
4869	jell	3
4870	jet	3
4871	jews	3
4872	jolt	3
4873	jolts	3
4874	jonathan	3
4875	jr.	3
4876	juan	3
4877	judge	3
4878	julia	3
4879	julie	3
4880	juliette	3
4881	jumbo	3
4882	jump	3
4883	jumps	3
4884	juwanna	3
4885	kane	3
4886	karen	3
4887	kathy	3
4888	kennedy	3
4889	kenneth	3
4890	kept	3
4891	kim	3
4892	klein	3
4893	koepp	3
4894	koury	3
4895	kouyate	3
4896	kurys	3
4897	labor	3
4898	laid	3
4899	landmark	3
4900	lapses	3
4901	lark	3
4902	lasting	3
4903	latin	3
4904	laudable	3
4905	laws	3
4906	league	3
4907	leaks	3
4908	leaping	3
4909	learning	3
4910	leather	3
4911	leavened	3
4912	letdown	3
4913	lewis	3
4914	liar	3
4915	liberation	3
4916	light-hearted	3
4917	lightly	3
4918	lightness	3
4919	likeable	3
4920	lilia	3
4921	lily	3
4922	limit	3
4923	limitations	3
4924	littered	3
4925	liza	3
4926	lizard	3
4927	load	3
4928	locales	3
4929	log	3
4930	lohman	3
4931	london	3
4932	lonely	3
4933	loosely	3
4934	losers	3
4935	lowbrow	3
4936	lunatic	3
4937	lunch	3
4938	luster	3
4939	lynch	3
4940	lyricism	3
4941	m.	3
4942	macabre	3
4943	machismo	3
4944	maggie	3
4945	maintaining	3
4946	maker	3
4947	malaise	3
4948	malcolm	3
4949	manifesto	3
4950	manipulation	3
4951	mannerisms	3
4952	manners	3
4953	marching	3
4954	margarita	3
4955	maryam	3
4956	massive	3
4957	matches	3
4958	mckay	3
4959	meal	3
4960	meaningless	3
4961	media	3
4962	meditative	3
4963	meet	3
4964	mehta	3
4965	member	3
4966	memento	3
4967	meticulously	3
4968	miami	3
4969	midway	3
4970	miike	3
4971	milk	3
4972	mill	3
4973	millions	3
4974	mind-numbingly	3
4975	ming-liang	3
4976	minimal	3
4977	minimum	3
4978	mira	3
4979	miramax	3
4980	misanthropic	3
4981	miserable	3
4982	mishmash	3
4983	misogyny	3
4984	mission	3
4985	moderately	3
4986	molly	3
4987	monotonous	3
4988	monstrous	3
4989	moods	3
4990	moronic	3
4991	morton	3
4992	mother\/daughter	3
4993	mountain	3
4994	movie-going	3
4995	movie-star	3
4996	multiple	3
4997	multiplex	3
4998	mummy	3
4999	murderous	3
5000	musicians	3
5001	muster	3
5002	musty	3
5003	myers	3
5004	myth	3
5005	nails	3
5006	names	3
5007	narcissism	3
5008	narration	3
5009	narrator	3
5010	narrow	3
5011	nary	3
5012	nash	3
5013	native	3
5014	naughty	3
5015	neatly	3
5016	neck	3
5017	negligible	3
5018	negotiate	3
5019	nerves	3
5020	nervous	3
5021	nettelbeck	3
5022	network	3
5023	nicest	3
5024	nicks	3
5025	ninety	3
5026	no-frills	3
5027	nonstop	3
5028	nuances	3
5029	nudity	3
5030	numbing	3
5031	nutty	3
5032	object	3
5033	obsessions	3
5034	obsessive	3
5035	oddest	3
5036	ok	3
5037	old-school	3
5038	oleander	3
5039	oliver	3
5040	olivier	3
5041	one-dimensional	3
5042	one-hour	3
5043	one-of-a-kind	3
5044	one-sided	3
5045	open-ended	3
5046	oppressive	3
5047	ops	3
5048	optimism	3
5049	optimistic	3
5050	opts	3
5051	orange	3
5052	orchard	3
5053	ordeal	3
5054	orders	3
5055	organic	3
5056	outbursts	3
5057	outdated	3
5058	outer	3
5059	outsiders	3
5060	outtakes	3
5061	overcomes	3
5062	overkill	3
5063	overtly	3
5064	overwhelmed	3
5065	overwritten	3
5066	padded	3
5067	padre	3
5068	painting	3
5069	pairing	3
5070	palatable	3
5071	panoramic	3
5072	par	3
5073	parallels	3
5074	paranoid	3
5075	parent	3
5076	participants	3
5077	partner	3
5078	passages	3
5079	passing	3
5080	patch	3
5081	paulette	3
5082	pause	3
5083	payami	3
5084	paying	3
5085	peak	3
5086	pellington	3
5087	peploe	3
5088	peralta	3
5089	perdition	3
5090	permeates	3
5091	pertinent	3
5092	pervasive	3
5093	pg-13	3
5094	phrase	3
5095	piercing	3
5096	pileup	3
5097	pilot	3
5098	pinochet	3
5099	pitch-perfect	3
5100	pitched	3
5101	placed	3
5102	playwright	3
5103	pleasantly	3
5104	plotless	3
5105	policy	3
5106	popularity	3
5107	pore	3
5108	possess	3
5109	possesses	3
5110	possession	3
5111	posturing	3
5112	potboiler	3
5113	potency	3
5114	potter	3
5115	powerfully	3
5116	pray	3
5117	precision	3
5118	predicament	3
5119	prep-school	3
5120	pressed	3
5121	pretend	3
5122	prevent	3
5123	prey	3
5124	pride	3
5125	primitive	3
5126	prism	3
5127	probe	3
5128	productions	3
5129	profane	3
5130	professionals	3
5131	proficient	3
5132	program	3
5133	promisingly	3
5134	protect	3
5135	proved	3
5136	provided	3
5137	pryor	3
5138	psyche	3
5139	psychopathic	3
5140	pulled	3
5141	pulpy	3
5142	pumpkin	3
5143	pungent	3
5144	purely	3
5145	pushed	3
5146	putrid	3
5147	q	3
5148	quaid	3
5149	qualify	3
5150	quarter	3
5151	quentin	3
5152	questionable	3
5153	quickie	3
5154	quieter	3
5155	rabbit-proof	3
5156	races	3
5157	racist	3
5158	radiant	3
5159	rage	3
5160	raimi	3
5161	rapidly	3
5162	rarity	3
5163	ratliff	3
5164	raucous	3
5165	raunch	3
5166	ray	3
5167	raymond	3
5168	reached	3
5169	realistically	3
5170	realization	3
5171	realizing	3
5172	realm	3
5173	reassuring	3
5174	rebellion	3
5175	recall	3
5176	receive	3
5177	received	3
5178	recipe	3
5179	recognizable	3
5180	recognize	3
5181	recommendation	3
5182	recycling	3
5183	reduced	3
5184	reduces	3
5185	reflection	3
5186	reflects	3
5187	rejected	3
5188	relate	3
5189	relative	3
5190	relaxed	3
5191	relevance	3
5192	reliable	3
5193	rely	3
5194	relying	3
5195	reminding	3
5196	remote	3
5197	repellent	3
5198	replete	3
5199	requires	3
5200	research	3
5201	reserved	3
5202	resistance	3
5203	resolution	3
5204	resorting	3
5205	respond	3
5206	responsibility	3
5207	restraint	3
5208	resurrection	3
5209	retains	3
5210	retelling	3
5211	retro	3
5212	returning	3
5213	revulsion	3
5214	rewarded	3
5215	reworking	3
5216	rhetoric	3
5217	richness	3
5218	ridiculousness	3
5219	rife	3
5220	riffs	3
5221	rigid	3
5222	riot	3
5223	rip	3
5224	ripe	3
5225	risks	3
5226	rival	3
5227	river	3
5228	road-trip	3
5229	rocket	3
5230	rocks	3
5231	romanek	3
5232	ron	3
5233	rough	3
5234	round	3
5235	rousing	3
5236	rubbo	3
5237	rug	3
5238	ruined	3
5239	ruins	3
5240	rumor	3
5241	rushed	3
5242	s	3
5243	sacrifice	3
5244	sacrificing	3
5245	salma	3
5246	salute	3
5247	sanctimony	3
5248	sarah	3
5249	satin	3
5250	satisfactory	3
5251	satisfied	3
5252	satisfyingly	3
5253	saves	3
5254	scale	3
5255	scarcely	3
5256	scare	3
5257	scariest	3
5258	scenic	3
5259	schemes	3
5260	schepisi	3
5261	schmaltz	3
5262	schmaltzy	3
5263	schrader	3
5264	schumacher	3
5265	science-fiction	3
5266	scooby-doo	3
5267	scotland	3
5268	screams	3
5269	screens	3
5270	scruffy	3
5271	seams	3
5272	secondhand	3
5273	section	3
5274	seductive	3
5275	segment	3
5276	seldahl	3
5277	self-aware	3
5278	self-esteem	3
5279	self-important	3
5280	self-satisfied	3
5281	sentiments	3
5282	sermon	3
5283	sessions	3
5284	set-up	3
5285	settle	3
5286	settled	3
5287	setup	3
5288	sexuality	3
5289	sexually	3
5290	shadowy	3
5291	shafer	3
5292	shaggy	3
5293	shakes	3
5294	sham	3
5295	shameless	3
5296	shape	3
5297	shifting	3
5298	shocked	3
5299	shoddy	3
5300	shortcomings	3
5301	shrek	3
5302	shrugging	3
5303	sickening	3
5304	signals	3
5305	significantly	3
5306	sillier	3
5307	simple-minded	3
5308	sing	3
5309	singles	3
5310	sister	3
5311	sizzle	3
5312	skateboard	3
5313	skewed	3
5314	skillfully	3
5315	slapdash	3
5316	slasher	3
5317	sleeper	3
5318	slippery	3
5319	slo-mo	3
5320	smack	3
5321	smaller	3
5322	smash	3
5323	smiles	3
5324	smirk	3
5325	smoking	3
5326	smoother	3
5327	smoothly	3
5328	snake	3
5329	snappy	3
5330	snatch	3
5331	sneaks	3
5332	soars	3
5333	soccer	3
5334	sociology	3
5335	soft	3
5336	sonny	3
5337	sons	3
5338	soul-searching	3
5339	sounding	3
5340	sources	3
5341	spaces	3
5342	spader	3
5343	sparkles	3
5344	sparks	3
5345	sparse	3
5346	specimen	3
5347	speculation	3
5348	speculative	3
5349	spends	3
5350	spice	3
5351	spiced	3
5352	spider	3
5353	spins	3
5354	splash	3
5355	spontaneity	3
5356	spotlight	3
5357	sprightly	3
5358	squandering	3
5359	stages	3
5360	stagy	3
5361	steeped	3
5362	stein	3
5363	sticking	3
5364	stifling	3
5365	stimulating	3
5366	stinks	3
5367	stirs	3
5368	strands	3
5369	streets	3
5370	strengths	3
5371	stretch	3
5372	strip	3
5373	stroke	3
5374	strongest	3
5375	struck	3
5376	struggles	3
5377	stuffed	3
5378	stumble	3
5379	styles	3
5380	sublime	3
5381	submarine	3
5382	subtext	3
5383	succeeded	3
5384	successfully	3
5385	succumb	3
5386	sucker	3
5387	sucks	3
5388	suddenly	3
5389	suffer	3
5390	suffocating	3
5391	sugarman	3
5392	sugary	3
5393	suggestion	3
5394	suitable	3
5395	suitably	3
5396	suits	3
5397	summertime	3
5398	sunday	3
5399	superficiality	3
5400	supply	3
5401	surefire	3
5402	surf	3
5403	surfing	3
5404	surround	3
5405	surrounded	3
5406	survivors	3
5407	susan	3
5408	sustained	3
5409	swedish	3
5410	swings	3
5411	tame	3
5412	tapping	3
5413	tart	3
5414	tastelessness	3
5415	tattered	3
5416	tavernier	3
5417	tea	3
5418	teach	3
5419	teachers	3
5420	teeming	3
5421	tempting	3
5422	tenacious	3
5423	tend	3
5424	tenderness	3
5425	tenor	3
5426	tensions	3
5427	testud	3
5428	thankfully	3
5429	theatres	3
5430	thematically	3
5431	thirteen	3
5432	thornberrys	3
5433	thrilling	3
5434	throwback	3
5435	tian	3
5436	timid	3
5437	tinseltown	3
5438	tiresomely	3
5439	titled	3
5440	titular	3
5441	toes	3
5442	tolerance	3
5443	tolerate	3
5444	tones	3
5445	tongue	3
5446	toothless	3
5447	topical	3
5448	topics	3
5449	torn	3
5450	torture	3
5451	tossed	3
5452	towards	3
5453	tragically	3
5454	transparent	3
5455	trap	3
5456	travails	3
5457	treads	3
5458	trees	3
5459	triumphant	3
5460	troopers	3
5461	tug	3
5462	tumult	3
5463	tunney	3
5464	turgid	3
5465	twaddle	3
5466	twisting	3
5467	two-dimensional	3
5468	tykwer	3
5469	unassuming	3
5470	unbearable	3
5471	unconditional	3
5472	undercurrent	3
5473	undercut	3
5474	undercuts	3
5475	underestimated	3
5476	underlying	3
5477	undermines	3
5478	undernourished	3
5479	undisputed	3
5480	uneventful	3
5481	unfolding	3
5482	unforgettable	3
5483	unhurried	3
5484	uninvolving	3
5485	uniquely	3
5486	united	3
5487	universe	3
5488	unknown	3
5489	unmemorable	3
5490	unpretentious	3
5491	unsurprising	3
5492	unsympathetic	3
5493	untalented	3
5494	update	3
5495	updating	3
5496	ups	3
5497	vacuum	3
5498	vain	3
5499	valiantly	3
5500	vampires	3
5501	variation	3
5502	vaudeville	3
5503	veneer	3
5504	versions	3
5505	veteran	3
5506	vibe	3
5507	vietnamese	3
5508	villains	3
5509	vin	3
5510	visible	3
5511	vistas	3
5512	volatile	3
5513	von	3
5514	walking	3
5515	wallop	3
5516	walls	3
5517	wanes	3
5518	war-torn	3
5519	warfare	3
5520	warrior	3
5521	wastes	3
5522	waterlogged	3
5523	waves	3
5524	weaknesses	3
5525	wednesday	3
5526	weep	3
5527	weepy	3
5528	weighs	3
5529	well-done	3
5530	welsh	3
5531	wertmuller	3
5532	wesley	3
5533	what-if	3
5534	whatsoever	3
5535	whimper	3
5536	whiny	3
5537	widowmaker	3
5538	winners	3
5539	winter	3
5540	wisdom	3
5541	wistful	3
5542	woefully	3
5543	won	3
5544	wondrous	3
5545	wood	3
5546	workplace	3
5547	worn	3
5548	worry	3
5549	wound	3
5550	woven	3
5551	wrenching	3
5552	x.	3
5553	xtc	3
5554	yard	3
5555	yawning	3
5556	yesterday	3
5557	yorkers	3
5558	z-boys	3
5559	zealand	3
5560	zippy	3
5561	100-minute	2
5562	102-minute	2
5563	110	2
5564	163	2
5565	170	2
5566	1915	2
5567	1920	2
5568	1940s	2
5569	1958	2
5570	1960	2
5571	1975	2
5572	1999	2
5573	2000	2
5574	21\/2	2
5575	25	2
5576	3d	2
5577	4	2
5578	451	2
5579	48	2
5580	50	2
5581	50-year-old	2
5582	6-year-old	2
5583	60	2
5584	70s	2
5585	83	2
5586	9-11	2
5587	9\/11	2
5588	a.	2
5589	aaliyah	2
5590	abandoned	2
5591	abc	2
5592	abel	2
5593	abhorrent	2
5594	abound	2
5595	above-average	2
5596	abroad	2
5597	abrupt	2
5598	absorb	2
5599	abyss	2
5600	academic	2
5601	accepts	2
5602	accident	2
5603	accidental	2
5604	accompanies	2
5605	accompanying	2
5606	accomplish	2
5607	accomplishments	2
5608	accuracy	2
5609	accuse	2
5610	ace	2
5611	acerbic	2
5612	achievements	2
5613	achieving	2
5614	achronological	2
5615	acquainted	2
5616	acquired	2
5617	action-adventure	2
5618	adaptations	2
5619	addict	2
5620	address	2
5621	addresses	2
5622	addressing	2
5623	admirers	2
5624	admitted	2
5625	adolescents	2
5626	adopt	2
5627	adorable	2
5628	adorably	2
5629	adrenalin	2
5630	adrenaline	2
5631	adrian	2
5632	adrift	2
5633	advised	2
5634	affectionately	2
5635	affirms	2
5636	afford	2
5637	affords	2
5638	afghan	2
5639	africa	2
5640	african-americans	2
5641	afterlife	2
5642	afterschool	2
5643	aftertaste	2
5644	afterthought	2
5645	agenda	2
5646	aggravating	2
5647	aggressive	2
5648	agonizing	2
5649	agony	2
5650	ahola	2
5651	aid	2
5652	aids	2
5653	aimlessness	2
5654	airs	2
5655	al.	2
5656	alagna	2
5657	alan	2
5658	alexander	2
5659	ali	2
5660	alienating	2
5661	all-star	2
5662	all-time	2
5663	all-too-familiar	2
5664	allegedly	2
5665	allegiance	2
5666	almodovar	2
5667	altar	2
5668	alternating	2
5669	altman	2
5670	amari	2
5671	amateur	2
5672	amateurishly	2
5673	ambitions	2
5674	ambrose	2
5675	amir	2
5676	ample	2
5677	amuse	2
5678	amélie	2
5679	ana	2
5680	anchoring	2
5681	anchors	2
5682	angela	2
5683	anguished	2
5684	animé	2
5685	aniston	2
5686	anonymous	2
5687	anti-catholic	2
5688	anti-semitism	2
5689	antonio	2
5690	anymore	2
5691	aplenty	2
5692	aplomb	2
5693	apollo	2
5694	apparatus	2
5695	appetite	2
5696	applies	2
5697	applying	2
5698	appointed	2
5699	approached	2
5700	approaching	2
5701	appropriately	2
5702	architect	2
5703	architecture	2
5704	archival	2
5705	ardent	2
5706	ardently	2
5707	arduous	2
5708	argento	2
5709	arguably	2
5710	arguing	2
5711	argument	2
5712	aristocracy	2
5713	aristocrats	2
5714	armed	2
5715	arms	2
5716	arrangements	2
5717	arrived	2
5718	arriving	2
5719	arteta	2
5720	arthouse	2
5721	arthur	2
5722	articulates	2
5723	artistes	2
5724	artistically	2
5725	ascends	2
5726	asking	2
5727	asleep	2
5728	asphalt	2
5729	assassination	2
5730	assault	2
5731	asset	2
5732	assumes	2
5733	assumption	2
5734	assuredly	2
5735	astray	2
5736	asylum	2
5737	athleticism	2
5738	atmospherics	2
5739	atop	2
5740	atrocious	2
5741	attached	2
5742	attacks	2
5743	attempted	2
5744	attendant	2
5745	auditorium	2
5746	august	2
5747	austen	2
5748	auteil	2
5749	authentically	2
5750	authenticity	2
5751	autobiographical	2
5752	autopsy	2
5753	avant-garde	2
5754	averting	2
5755	awake	2
5756	awareness	2
5757	awe-inspiring	2
5758	awesome	2
5759	awfulness	2
5760	awry	2
5761	ayurveda	2
5762	babysitter	2
5763	back-stabbing	2
5764	backed	2
5765	backgrounds	2
5766	backhanded	2
5767	backyard	2
5768	bacon	2
5769	bailly	2
5770	balances	2
5771	balancing	2
5772	ballast	2
5773	ballet	2
5774	balm	2
5775	banality	2
5776	banderas	2
5777	bands	2
5778	bang	2
5779	bankrupt	2
5780	bare	2
5781	barf	2
5782	bargain-basement	2
5783	bark	2
5784	baroque	2
5785	barriers	2
5786	barrymore	2
5787	bars	2
5788	batch	2
5789	bath	2
5790	bathos	2
5791	bathtub	2
5792	battlefield	2
5793	beacon	2
5794	bearable	2
5795	beard	2
5796	beaten	2
5797	became	2
5798	bed	2
5799	been-there	2
5800	befuddled	2
5801	begging	2
5802	beginners	2
5803	begun	2
5804	behave	2
5805	believes	2
5806	beloved	2
5807	benefited	2
5808	bent	2
5809	berling	2
5810	bernard	2
5811	berry	2
5812	beside	2
5813	besides	2
5814	besotted	2
5815	bette	2
5816	beware	2
